Weight (g),Color,Diameter (cm),Fruit Type
128,Green,6.67,Apple
1245,Brown,16.21,Coconut
89,Yellow,3.56,Banana
1482,Brown,18.49,Coconut
1617,Brown,15.54,Pineapple
173,Orange,6.63,Orange
10,Green,1.71,Grape
15,Pink,2.18,Lychee
143,Red,6.44,Apple
3862,Green,22.62,Watermelon
1916,Green,17.38,Coconut
1818,Brown,21.73,Coconut
5,Purple,1.42,Grape
280,Orange,6.66,Orange
14,Green,1.19,Grape
187,Red,6.6,Apple
154,Red,6.63,Apple
335,Yellow,10.27,Mango
1251,Brown,19.45,Pineapple
1650,Brown,18.59,Coconut
101,Yellow,3.84,Banana
1007,Orange,16.91,Papaya
1321,Yellow,17.99,Pineapple
1007,Yellow,14.42,Papaya
19,Pink,2.46,Lychee
188,Red,8.97,Apple
226,Orange,9.26,Orange
222,Red,10.04,Mango
269,Yellow,9.32,Mango
9,Green,1.08,Grape
2650,Green,25.78,Watermelon
728,Yellow,15.06,Papaya
248,Orange,9.25,Orange
1368,Green,15.86,Coconut
15,Red,2.0,Lychee
1748,Green,20.77,Coconut
3881,Green,28.25,Watermelon
2096,Brown,19.39,Coconut
2903,Green,21.62,Watermelon
23,Pink,2.39,Lychee
1187,Yellow,12.47,Papaya
154,Orange,8.41,Orange
1089,Brown,17.61,Pineapple
4848,Green,23.18,Watermelon
184,Green,6.38,Apple
10,Purple,1.49,Grape
4762,Green,25.29,Watermelon
135,Yellow,3.99,Banana
85,Yellow,3.53,Banana
16,Red,2.1,Lychee
706,Orange,18.85,Papaya
389,Green,8.5,Mango
108,Yellow,4.87,Banana
1944,Brown,15.28,Pineapple
236,Orange,8.84,Orange
92,Yellow,3.68,Banana
1618,Yellow,14.33,Pineapple
124,Yellow,4.98,Banana
189,Orange,6.77,Orange
9,Green,1.22,Grape
137,Red,8.83,Apple
184,Orange,7.61,Orange
137,Red,6.12,Apple
11,Green,1.28,Grape
320,Green,9.55,Mango
101,Yellow,4.11,Banana
207,Orange,9.25,Orange
234,Orange,8.68,Orange
1950,Brown,17.81,Pineapple
1918,Brown,15.42,Pineapple
285,Yellow,9.97,Mango
8,Green,1.53,Grape
23,Pink,2.91,Lychee
19,Red,2.27,Lychee
1068,Orange,12.76,Papaya
186,Orange,8.46,Orange
1333,Brown,15.32,Pineapple
2858,Green,25.56,Watermelon
2139,Brown,19.27,Coconut
1843,Brown,19.83,Coconut
1849,Brown,13.64,Pineapple
132,Yellow,3.48,Banana
108,Yellow,4.39,Banana
13,Green,1.78,Grape
1472,Brown,17.86,Pineapple
215,Orange,8.17,Orange
2300,Green,18.87,Coconut
1768,Green,17.56,Coconut
2497,Green,23.96,Coconut
10,Green,1.64,Grape
379,Green,9.97,Mango
10,Purple,1.76,Grape
160,Red,6.27,Apple
250,Orange,6.04,Orange
1340,Green,11.93,Papaya
156,Red,7.73,Apple
145,Yellow,4.91,Banana
246,Green,11.95,Mango
192,Green,7.23,Apple
227,Yellow,9.68,Mango
13,Green,1.66,Grape
283,Orange,9.44,Orange
4779,Green,22.53,Watermelon
141,Yellow,3.46,Banana
1257,Green,18.06,Coconut
1003,Orange,12.03,Papaya
1336,Green,15.38,Papaya
4010,Green,26.82,Watermelon
2243,Green,25.52,Watermelon
10,Green,2.0,Grape
1325,Yellow,12.13,Pineapple
286,Orange,7.31,Orange
248,Red,9.37,Mango
104,Yellow,3.43,Banana
847,Orange,18.46,Papaya
25,Pink,2.35,Lychee
1089,Green,23.01,Coconut
16,Red,2.45,Lychee
1441,Yellow,13.22,Pineapple
120,Red,6.99,Apple
1381,Orange,11.82,Papaya
104,Yellow,3.02,Banana
1638,Green,21.87,Coconut
888,Orange,12.27,Papaya
1923,Brown,21.11,Coconut
25,Pink,2.14,Lychee
15,Purple,1.29,Grape
256,Green,8.99,Mango
1940,Brown,16.34,Pineapple
24,Red,2.68,Lychee
3585,Green,28.81,Watermelon
286,Orange,7.05,Orange
4978,Green,20.71,Watermelon
137,Yellow,3.18,Banana
208,Orange,8.68,Orange
149,Green,7.68,Apple
150,Green,6.57,Apple
168,Red,7.69,Apple
145,Red,7.76,Apple
1987,Yellow,13.61,Pineapple
370,Yellow,9.57,Mango
172,Green,8.11,Apple
317,Green,8.93,Mango
1039,Brown,18.69,Pineapple
130,Yellow,4.93,Banana
1479,Yellow,12.9,Papaya
250,Orange,7.48,Orange
748,Green,19.52,Papaya
1311,Yellow,17.93,Papaya
264,Green,9.71,Mango
2137,Green,18.38,Coconut
1354,Yellow,13.0,Papaya
633,Orange,15.59,Papaya
111,Yellow,3.65,Banana
190,Green,6.83,Apple
153,Orange,7.01,Orange
1260,Green,21.15,Coconut
283,Red,8.68,Mango
374,Green,10.9,Mango
1952,Green,19.49,Coconut
1272,Brown,20.04,Coconut
1099,Yellow,17.22,Pineapple
15,Green,1.62,Grape
185,Green,8.66,Apple
1273,Green,18.13,Coconut
3231,Green,27.39,Watermelon
1301,Brown,14.82,Pineapple
22,Red,2.82,Lychee
237,Red,10.61,Mango
1678,Yellow,18.91,Pineapple
176,Orange,6.75,Orange
2300,Brown,17.84,Coconut
24,Pink,2.82,Lychee
19,Red,2.67,Lychee
1375,Yellow,19.16,Papaya
119,Yellow,3.21,Banana
3879,Green,28.69,Watermelon
9,Green,1.61,Grape
3872,Green,29.62,Watermelon
167,Orange,8.97,Orange
1016,Green,18.76,Coconut
15,Purple,1.38,Grape
15,Pink,2.8,Lychee
1591,Brown,20.74,Coconut
11,Green,1.45,Grape
1208,Green,23.69,Coconut
1493,Green,12.24,Papaya
534,Yellow,10.77,Papaya
236,Red,11.86,Mango
1895,Brown,20.87,Coconut
1126,Yellow,20.0,Pineapple
21,Pink,2.39,Lychee
192,Red,8.73,Apple
1397,Orange,18.97,Papaya
186,Green,6.12,Apple
13,Green,1.36,Grape
1512,Brown,12.44,Pineapple
1260,Green,15.65,Papaya
10,Green,1.39,Grape
176,Orange,9.98,Orange
2103,Green,24.33,Watermelon
25,Pink,2.25,Lychee
3332,Green,25.64,Watermelon
151,Orange,9.23,Orange
232,Orange,9.95,Orange
80,Yellow,3.2,Banana
2980,Green,24.45,Watermelon
1930,Brown,18.68,Pineapple
4879,Green,22.89,Watermelon
15,Red,2.62,Lychee
1121,Brown,21.55,Coconut
116,Yellow,3.26,Banana
23,Pink,2.5,Lychee
20,Pink,2.26,Lychee
383,Yellow,11.85,Mango
20,Pink,2.06,Lychee
8,Green,1.39,Grape
14,Purple,1.48,Grape
1746,Yellow,14.25,Pineapple
2096,Brown,22.44,Coconut
1474,Orange,15.77,Papaya
1088,Green,15.05,Coconut
394,Green,11.97,Mango
1093,Brown,24.27,Coconut
9,Purple,1.35,Grape
4878,Green,29.68,Watermelon
226,Yellow,11.03,Mango
269,Green,10.16,Mango
2119,Green,21.54,Watermelon
88,Yellow,4.19,Banana
13,Green,1.05,Grape
1559,Green,20.12,Coconut
92,Yellow,3.48,Banana
717,Orange,15.51,Papaya
369,Red,8.45,Mango
2252,Green,28.59,Watermelon
197,Orange,7.64,Orange
670,Green,19.55,Papaya
23,Red,2.07,Lychee
3431,Green,21.25,Watermelon
114,Yellow,3.81,Banana
147,Red,6.67,Apple
1463,Yellow,19.41,Pineapple
1532,Brown,14.32,Pineapple
2518,Green,24.72,Watermelon
2851,Green,22.05,Watermelon
1220,Green,18.48,Papaya
353,Red,11.79,Mango
190,Green,7.89,Apple
8,Purple,1.77,Grape
174,Orange,9.57,Orange
167,Red,8.58,Apple
336,Green,8.58,Mango
1403,Brown,15.16,Pineapple
275,Red,10.05,Mango
124,Green,8.53,Apple
237,Orange,6.13,Orange
15,Purple,1.16,Grape
4863,Green,24.76,Watermelon
743,Orange,18.09,Papaya
81,Yellow,3.68,Banana
223,Orange,8.54,Orange
10,Purple,1.73,Grape
2361,Green,23.17,Watermelon
5,Green,1.05,Grape
169,Orange,6.17,Orange
550,Yellow,18.48,Papaya
319,Yellow,11.45,Mango
920,Orange,15.2,Papaya
126,Red,7.94,Apple
1149,Yellow,16.87,Pineapple
16,Red,2.55,Lychee
876,Green,17.13,Papaya
143,Yellow,4.93,Banana
7,Purple,1.86,Grape
1354,Brown,16.71,Pineapple
17,Pink,2.67,Lychee
2084,Green,21.54,Coconut
172,Red,7.26,Apple
150,Yellow,4.75,Banana
11,Purple,1.64,Grape
1298,Green,10.92,Papaya
7,Purple,1.93,Grape
282,Orange,7.63,Orange
287,Orange,8.03,Orange
108,Yellow,3.86,Banana
126,Green,8.01,Apple
341,Red,9.11,Mango
4585,Green,23.26,Watermelon
256,Orange,9.4,Orange
127,Yellow,4.58,Banana
1847,Yellow,19.46,Pineapple
20,Red,2.63,Lychee
22,Red,2.03,Lychee
196,Red,8.86,Apple
9,Green,1.44,Grape
83,Yellow,3.13,Banana
284,Green,10.37,Mango
1265,Yellow,16.27,Papaya
238,Orange,7.35,Orange
1269,Brown,17.86,Coconut
205,Orange,9.61,Orange
4636,Green,25.79,Watermelon
1906,Green,23.76,Coconut
1280,Brown,17.48,Pineapple
1111,Brown,24.11,Coconut
155,Green,7.94,Apple
4065,Green,25.08,Watermelon
2027,Green,24.6,Watermelon
15,Green,1.14,Grape
2184,Brown,24.6,Coconut
2682,Green,23.17,Watermelon
133,Red,6.02,Apple
244,Orange,7.82,Orange
20,Red,2.35,Lychee
1025,Yellow,12.78,Pineapple
283,Orange,9.86,Orange
182,Green,8.76,Apple
2031,Green,27.67,Watermelon
369,Green,9.34,Mango
1018,Green,13.22,Papaya
11,Purple,1.21,Grape
1864,Green,22.65,Coconut
2561,Green,22.57,Watermelon
290,Red,8.39,Mango
1016,Green,17.93,Papaya
108,Yellow,4.5,Banana
1965,Yellow,15.35,Pineapple
123,Yellow,3.31,Banana
16,Pink,2.38,Lychee
748,Orange,17.95,Papaya
120,Red,7.72,Apple
11,Green,1.43,Grape
17,Pink,2.89,Lychee
10,Purple,1.15,Grape
2317,Green,25.56,Watermelon
1058,Brown,19.18,Coconut
22,Red,2.82,Lychee
3534,Green,27.66,Watermelon
1917,Green,24.28,Coconut
10,Purple,1.66,Grape
285,Orange,6.63,Orange
1829,Brown,22.17,Coconut
1485,Yellow,14.09,Pineapple
2420,Green,24.68,Coconut
1651,Green,24.83,Coconut
4922,Green,28.14,Watermelon
233,Green,8.95,Mango
1453,Brown,20.66,Coconut
1642,Green,17.75,Coconut
186,Green,6.72,Apple
157,Orange,6.87,Orange
2799,Green,21.89,Watermelon
9,Green,1.38,Grape
219,Orange,8.78,Orange
285,Yellow,11.93,Mango
5,Green,1.03,Grape
1188,Yellow,18.29,Pineapple
2135,Green,22.08,Watermelon
21,Pink,2.98,Lychee
1147,Yellow,16.44,Pineapple
2310,Brown,15.48,Coconut
241,Green,8.48,Mango
3214,Green,24.32,Watermelon
378,Red,9.67,Mango
1129,Yellow,16.15,Papaya
20,Pink,2.56,Lychee
22,Pink,2.65,Lychee
232,Orange,8.56,Orange
167,Orange,9.37,Orange
1591,Brown,16.95,Pineapple
7,Green,1.49,Grape
1058,Orange,10.77,Papaya
114,Yellow,3.37,Banana
176,Green,6.38,Apple
125,Yellow,4.82,Banana
239,Red,9.08,Mango
303,Red,11.77,Mango
24,Pink,2.6,Lychee
3517,Green,21.56,Watermelon
1001,Brown,17.68,Pineapple
15,Green,1.16,Grape
1369,Orange,17.8,Papaya
10,Green,1.38,Grape
2500,Green,25.69,Watermelon
215,Orange,9.5,Orange
349,Red,10.76,Mango
104,Yellow,4.32,Banana
2059,Green,27.89,Watermelon
1485,Brown,18.65,Pineapple
1103,Green,17.48,Papaya
2608,Green,22.28,Watermelon
658,Yellow,15.51,Papaya
138,Yellow,3.59,Banana
303,Green,10.66,Mango
337,Red,9.33,Mango
2485,Green,29.77,Watermelon
158,Green,7.7,Apple
8,Purple,1.52,Grape
168,Red,8.46,Apple
165,Green,7.33,Apple
237,Orange,6.93,Orange
1996,Yellow,19.57,Pineapple
2295,Green,21.15,Coconut
1205,Brown,21.33,Coconut
2269,Brown,21.32,Coconut
129,Yellow,3.86,Banana
258,Orange,8.29,Orange
2537,Green,26.16,Watermelon
254,Red,10.15,Mango
1268,Yellow,14.75,Pineapple
25,Red,2.98,Lychee
1479,Green,15.51,Papaya
2059,Brown,18.85,Coconut
81,Yellow,4.42,Banana
1788,Green,18.17,Coconut
374,Red,9.24,Mango
10,Purple,1.97,Grape
251,Orange,7.29,Orange
1790,Brown,14.89,Pineapple
4306,Green,22.72,Watermelon
2508,Green,28.41,Watermelon
135,Yellow,4.74,Banana
170,Green,8.63,Apple
133,Yellow,4.23,Banana
190,Green,6.21,Apple
1834,Yellow,12.1,Pineapple
231,Orange,7.55,Orange
157,Red,6.75,Apple
199,Orange,7.39,Orange
2443,Green,20.24,Watermelon
224,Orange,7.38,Orange
24,Red,2.44,Lychee
4608,Green,28.1,Watermelon
8,Green,1.49,Grape
105,Yellow,4.23,Banana
3516,Green,21.06,Watermelon
1421,Green,15.67,Coconut
1990,Brown,18.55,Pineapple
103,Yellow,3.23,Banana
14,Green,1.19,Grape
235,Red,9.8,Mango
5,Green,1.91,Grape
9,Green,1.75,Grape
1151,Green,18.61,Coconut
4304,Green,27.55,Watermelon
1106,Yellow,10.96,Papaya
258,Orange,8.49,Orange
18,Red,2.04,Lychee
1175,Green,16.68,Papaya
135,Green,6.88,Apple
1277,Brown,17.66,Pineapple
206,Orange,7.27,Orange
1120,Yellow,11.14,Papaya
1186,Brown,17.53,Pineapple
1531,Brown,17.55,Pineapple
25,Pink,2.99,Lychee
4802,Green,29.17,Watermelon
249,Orange,9.82,Orange
183,Green,6.54,Apple
1392,Brown,15.33,Pineapple
8,Green,1.88,Grape
7,Purple,1.45,Grape
24,Pink,2.1,Lychee
24,Pink,2.87,Lychee
91,Yellow,3.32,Banana
1655,Yellow,15.13,Pineapple
20,Red,2.59,Lychee
19,Red,2.59,Lychee
18,Red,2.83,Lychee
253,Orange,9.67,Orange
1394,Yellow,13.56,Pineapple
83,Yellow,4.65,Banana
1462,Brown,18.29,Pineapple
3150,Green,24.25,Watermelon
237,Green,8.04,Mango
598,Orange,11.5,Papaya
224,Orange,9.44,Orange
151,Red,8.35,Apple
1050,Brown,18.31,Pineapple
145,Red,8.95,Apple
17,Red,2.02,Lychee
742,Orange,12.35,Papaya
1785,Yellow,17.63,Pineapple
1660,Brown,19.41,Coconut
2174,Brown,24.82,Coconut
2765,Green,29.68,Watermelon
117,Yellow,4.91,Banana
1974,Green,22.73,Coconut
208,Orange,8.65,Orange
862,Green,18.6,Papaya
21,Red,2.16,Lychee
8,Green,1.23,Grape
1625,Green,16.97,Coconut
16,Red,2.05,Lychee
958,Orange,17.46,Papaya
969,Green,17.7,Papaya
24,Red,2.57,Lychee
378,Red,11.3,Mango
2069,Brown,18.66,Coconut
129,Red,8.95,Apple
15,Green,1.33,Grape
995,Yellow,10.12,Papaya
1823,Yellow,13.31,Pineapple
241,Orange,8.83,Orange
1923,Brown,17.1,Pineapple
176,Green,6.52,Apple
1817,Brown,17.74,Coconut
131,Red,7.58,Apple
1841,Brown,15.41,Coconut
289,Yellow,9.81,Mango
2334,Green,22.89,Watermelon
209,Orange,6.7,Orange
1621,Brown,13.27,Pineapple
135,Green,8.8,Apple
158,Orange,6.16,Orange
158,Green,7.78,Apple
18,Pink,2.39,Lychee
252,Red,11.24,Mango
285,Green,9.97,Mango
2409,Brown,20.53,Coconut
2748,Green,27.73,Watermelon
20,Red,2.26,Lychee
1476,Brown,18.37,Pineapple
157,Green,6.38,Apple
1601,Brown,12.88,Pineapple
15,Green,1.21,Grape
2387,Green,16.57,Coconut
618,Green,19.34,Papaya
240,Yellow,9.17,Mango
254,Orange,6.03,Orange
98,Yellow,3.81,Banana
139,Green,8.98,Apple
129,Green,8.3,Apple
5,Green,1.86,Grape
18,Pink,2.75,Lychee
932,Orange,10.11,Papaya
1098,Brown,20.48,Coconut
161,Green,8.82,Apple
225,Orange,6.68,Orange
356,Red,8.01,Mango
140,Yellow,3.71,Banana
226,Red,9.87,Mango
338,Yellow,11.54,Mango
1603,Yellow,19.24,Pineapple
198,Red,7.36,Apple
22,Red,2.76,Lychee
91,Yellow,3.58,Banana
2317,Green,17.3,Coconut
2398,Brown,15.59,Coconut
1697,Green,19.9,Coconut
1927,Yellow,19.66,Pineapple
170,Green,7.1,Apple
233,Orange,9.86,Orange
2578,Green,22.79,Watermelon
141,Yellow,4.75,Banana
21,Red,2.36,Lychee
1495,Yellow,16.71,Pineapple
211,Red,11.12,Mango
1512,Green,24.98,Coconut
221,Orange,9.17,Orange
609,Orange,15.37,Papaya
13,Purple,1.74,Grape
20,Pink,2.25,Lychee
185,Red,6.43,Apple
2790,Green,27.47,Watermelon
3488,Green,28.48,Watermelon
234,Orange,7.99,Orange
25,Red,2.16,Lychee
20,Red,2.18,Lychee
222,Orange,6.96,Orange
1965,Green,16.88,Coconut
1463,Yellow,19.37,Pineapple
8,Purple,1.01,Grape
381,Red,11.31,Mango
7,Green,1.76,Grape
131,Red,6.76,Apple
18,Pink,2.29,Lychee
190,Green,7.5,Apple
1806,Brown,14.79,Pineapple
4141,Green,28.34,Watermelon
2445,Green,28.83,Watermelon
14,Purple,1.33,Grape
17,Pink,2.34,Lychee
12,Green,1.52,Grape
388,Red,8.37,Mango
13,Purple,1.31,Grape
10,Green,1.5,Grape
160,Green,6.71,Apple
194,Red,7.79,Apple
221,Orange,6.69,Orange
24,Pink,2.53,Lychee
2357,Green,25.43,Watermelon
15,Pink,2.58,Lychee
1762,Brown,17.61,Coconut
14,Purple,1.62,Grape
2474,Green,22.78,Watermelon
204,Red,9.28,Mango
199,Green,6.88,Apple
101,Yellow,4.05,Banana
950,Orange,17.16,Papaya
95,Yellow,4.75,Banana
10,Green,1.56,Grape
1352,Brown,16.22,Pineapple
1347,Brown,16.95,Pineapple
2843,Green,29.99,Watermelon
1076,Green,14.43,Papaya
1368,Brown,14.36,Pineapple
203,Orange,8.54,Orange
706,Green,10.55,Papaya
187,Orange,8.03,Orange
3460,Green,25.74,Watermelon
2066,Green,22.13,Coconut
2259,Brown,23.05,Coconut
128,Yellow,4.13,Banana
1613,Yellow,15.78,Pineapple
704,Green,19.08,Papaya
20,Pink,2.61,Lychee
222,Yellow,10.7,Mango
85,Yellow,3.03,Banana
193,Red,6.61,Apple
10,Green,1.82,Grape
24,Red,2.59,Lychee
170,Green,6.34,Apple
213,Green,11.46,Mango
331,Yellow,8.22,Mango
1614,Brown,16.13,Pineapple
14,Green,1.81,Grape
336,Red,11.55,Mango
132,Red,7.92,Apple
14,Green,1.95,Grape
18,Red,2.18,Lychee
12,Green,1.57,Grape
1346,Yellow,19.75,Pineapple
1226,Green,18.78,Papaya
12,Purple,1.74,Grape
1856,Brown,19.79,Pineapple
84,Yellow,3.39,Banana
179,Red,6.22,Apple
317,Green,8.75,Mango
284,Orange,7.44,Orange
350,Yellow,11.01,Mango
788,Yellow,12.84,Papaya
216,Yellow,9.18,Mango
340,Red,10.42,Mango
102,Yellow,4.77,Banana
1775,Yellow,13.4,Pineapple
199,Orange,9.12,Orange
1756,Yellow,16.93,Pineapple
135,Yellow,4.38,Banana
216,Orange,6.83,Orange
1468,Brown,18.26,Pineapple
84,Yellow,3.74,Banana
15,Red,2.71,Lychee
666,Orange,16.93,Papaya
278,Yellow,8.19,Mango
963,Orange,18.51,Papaya
2693,Green,29.11,Watermelon
2326,Green,17.17,Coconut
14,Purple,1.02,Grape
5,Green,1.57,Grape
83,Yellow,4.94,Banana
195,Orange,8.75,Orange
2470,Green,21.21,Coconut
2119,Green,15.8,Coconut
250,Orange,7.92,Orange
515,Yellow,17.38,Papaya
1799,Brown,19.06,Pineapple
1710,Green,16.85,Coconut
308,Yellow,10.45,Mango
24,Red,2.05,Lychee
16,Pink,2.89,Lychee
4313,Green,26.69,Watermelon
175,Red,8.77,Apple
1482,Green,24.75,Coconut
115,Yellow,4.36,Banana
16,Pink,2.28,Lychee
395,Yellow,10.57,Mango
364,Yellow,8.09,Mango
4507,Green,21.48,Watermelon
214,Orange,7.14,Orange
13,Purple,1.09,Grape
548,Yellow,12.2,Papaya
1683,Brown,15.09,Pineapple
12,Green,1.99,Grape
20,Red,2.39,Lychee
123,Red,8.56,Apple
1394,Orange,13.8,Papaya
173,Red,7.35,Apple
155,Orange,9.73,Orange
12,Green,1.15,Grape
564,Green,19.43,Papaya
8,Purple,1.96,Grape
3869,Green,26.61,Watermelon
24,Pink,2.79,Lychee
122,Red,8.27,Apple
1971,Brown,20.85,Coconut
2330,Green,22.52,Coconut
104,Yellow,3.21,Banana
1027,Orange,10.54,Papaya
293,Orange,6.59,Orange
102,Yellow,3.61,Banana
14,Green,1.94,Grape
289,Orange,6.47,Orange
16,Red,2.13,Lychee
926,Green,12.85,Papaya
258,Red,9.83,Mango
1277,Yellow,12.79,Pineapple
86,Yellow,4.9,Banana
1620,Yellow,18.56,Pineapple
2154,Green,23.15,Coconut
3014,Green,20.06,Watermelon
163,Green,6.01,Apple
1197,Brown,18.14,Coconut
137,Yellow,4.29,Banana
1134,Brown,24.34,Coconut
126,Green,7.83,Apple
293,Green,11.36,Mango
5,Purple,1.73,Grape
1067,Yellow,16.02,Pineapple
1123,Brown,19.31,Pineapple
788,Green,10.5,Papaya
196,Red,7.36,Apple
776,Green,19.24,Papaya
1184,Brown,15.48,Coconut
23,Pink,2.27,Lychee
283,Orange,9.51,Orange
2025,Brown,17.93,Coconut
367,Yellow,8.23,Mango
1974,Green,20.76,Coconut
21,Red,2.61,Lychee
12,Green,1.65,Grape
281,Green,9.52,Mango
327,Yellow,8.22,Mango
136,Red,8.74,Apple
290,Red,8.4,Mango
286,Orange,7.01,Orange
24,Pink,2.21,Lychee
1313,Yellow,19.69,Pineapple
298,Yellow,9.12,Mango
21,Pink,2.69,Lychee
11,Purple,1.54,Grape
11,Green,1.93,Grape
1811,Brown,18.5,Coconut
1383,Yellow,16.06,Pineapple
1521,Green,17.98,Coconut
172,Green,8.63,Apple
15,Pink,2.18,Lychee
104,Yellow,3.49,Banana
3029,Green,28.98,Watermelon
1455,Brown,17.95,Pineapple
22,Pink,3.0,Lychee
174,Red,8.04,Apple
1273,Yellow,17.93,Pineapple
20,Pink,2.3,Lychee
4712,Green,22.73,Watermelon
1057,Green,16.82,Coconut
308,Red,8.09,Mango
22,Pink,2.54,Lychee
1653,Brown,16.43,Pineapple
858,Yellow,12.04,Papaya
103,Yellow,4.99,Banana
140,Red,8.68,Apple
4654,Green,21.36,Watermelon
285,Orange,7.7,Orange
1675,Yellow,18.68,Pineapple
4766,Green,29.67,Watermelon
15,Green,1.14,Grape
14,Purple,1.3,Grape
1880,Brown,15.15,Pineapple
112,Yellow,4.34,Banana
8,Purple,1.27,Grape
390,Red,11.76,Mango
272,Orange,8.06,Orange
2030,Green,20.94,Watermelon
310,Red,11.29,Mango
774,Green,11.07,Papaya
223,Red,10.63,Mango
1321,Brown,17.27,Coconut
190,Green,7.26,Apple
15,Green,1.22,Grape
9,Purple,1.36,Grape
236,Orange,8.62,Orange
346,Green,8.41,Mango
119,Yellow,3.07,Banana
17,Pink,2.95,Lychee
9,Green,1.15,Grape
17,Pink,2.48,Lychee
215,Yellow,10.38,Mango
236,Orange,9.47,Orange
3650,Green,29.22,Watermelon
231,Orange,9.12,Orange
2360,Green,28.0,Watermelon
147,Green,7.59,Apple
135,Yellow,4.78,Banana
209,Orange,8.64,Orange
176,Red,7.78,Apple
142,Yellow,3.14,Banana
223,Yellow,10.87,Mango
87,Yellow,4.93,Banana
10,Green,1.29,Grape
1327,Brown,15.29,Pineapple
1179,Yellow,19.79,Pineapple
1700,Yellow,17.1,Pineapple
133,Red,6.19,Apple
1125,Brown,22.26,Coconut
222,Red,8.02,Mango
309,Red,11.64,Mango
9,Green,1.23,Grape
194,Green,7.07,Apple
138,Green,8.56,Apple
17,Pink,2.29,Lychee
216,Orange,7.53,Orange
764,Yellow,12.46,Papaya
14,Purple,1.36,Grape
22,Pink,2.5,Lychee
1841,Green,24.94,Coconut
23,Pink,2.61,Lychee
24,Red,2.49,Lychee
117,Yellow,3.48,Banana
9,Purple,1.21,Grape
2186,Green,17.49,Coconut
1596,Brown,23.27,Coconut
362,Green,8.37,Mango
3305,Green,24.04,Watermelon
11,Green,1.75,Grape
216,Orange,7.18,Orange
25,Red,2.58,Lychee
1449,Yellow,17.79,Pineapple
6,Purple,1.82,Grape
5,Green,1.74,Grape
147,Green,6.8,Apple
3883,Green,23.46,Watermelon
124,Yellow,4.08,Banana
293,Orange,8.04,Orange
160,Orange,9.28,Orange
1226,Yellow,15.83,Pineapple
172,Orange,6.82,Orange
8,Green,1.52,Grape
1029,Yellow,10.59,Papaya
140,Red,7.7,Apple
126,Yellow,3.08,Banana
17,Red,2.61,Lychee
392,Yellow,11.89,Mango
24,Pink,2.18,Lychee
21,Red,2.19,Lychee
173,Red,6.34,Apple
23,Pink,2.84,Lychee
1506,Brown,16.9,Pineapple
18,Pink,2.46,Lychee
126,Green,7.88,Apple
4253,Green,27.81,Watermelon
1093,Orange,10.21,Papaya
2238,Green,21.14,Watermelon
19,Pink,2.36,Lychee
2463,Green,26.59,Watermelon
2761,Green,21.02,Watermelon
177,Green,7.41,Apple
121,Yellow,4.49,Banana
1669,Brown,15.52,Pineapple
18,Pink,2.33,Lychee
18,Pink,2.14,Lychee
1766,Brown,16.56,Coconut
89,Yellow,4.88,Banana
136,Yellow,4.38,Banana
24,Pink,2.87,Lychee
13,Purple,1.96,Grape
1343,Green,18.26,Papaya
13,Purple,1.16,Grape
132,Yellow,3.42,Banana
2219,Brown,15.87,Coconut
10,Green,1.46,Grape
1702,Yellow,14.65,Pineapple
3506,Green,25.94,Watermelon
114,Yellow,3.98,Banana
113,Yellow,4.82,Banana
196,Red,6.4,Apple
13,Green,1.76,Grape
226,Green,10.33,Mango
269,Orange,9.27,Orange
179,Red,6.11,Apple
2536,Green,28.56,Watermelon
1316,Green,18.65,Papaya
18,Pink,2.28,Lychee
186,Red,6.08,Apple
1601,Yellow,12.15,Pineapple
108,Yellow,3.86,Banana
186,Red,8.38,Apple
102,Yellow,4.71,Banana
1375,Yellow,12.57,Papaya
137,Yellow,4.22,Banana
224,Yellow,11.32,Mango
14,Purple,1.6,Grape
11,Green,1.08,Grape
167,Red,6.97,Apple
1457,Brown,19.48,Coconut
1108,Orange,17.04,Papaya
1970,Brown,18.13,Coconut
7,Green,1.14,Grape
19,Red,2.7,Lychee
14,Green,1.58,Grape
9,Purple,1.02,Grape
13,Green,1.97,Grape
1975,Brown,13.32,Pineapple
20,Red,2.12,Lychee
388,Green,9.93,Mango
1839,Brown,18.1,Pineapple
3853,Green,28.32,Watermelon
16,Pink,2.77,Lychee
1465,Brown,20.56,Coconut
24,Pink,2.55,Lychee
1273,Green,19.63,Coconut
1936,Yellow,18.56,Pineapple
23,Red,2.13,Lychee
384,Red,11.42,Mango
120,Red,6.79,Apple
17,Red,2.24,Lychee
19,Pink,2.46,Lychee
1858,Brown,22.14,Coconut
139,Yellow,3.17,Banana
20,Pink,2.48,Lychee
1953,Yellow,17.27,Pineapple
13,Purple,1.66,Grape
209,Red,11.12,Mango
258,Yellow,11.33,Mango
3194,Green,24.76,Watermelon
1686,Yellow,13.7,Pineapple
256,Orange,8.28,Orange
1555,Brown,15.72,Pineapple
25,Red,2.24,Lychee
15,Red,2.09,Lychee
1560,Brown,13.74,Pineapple
93,Yellow,4.26,Banana
141,Yellow,4.58,Banana
138,Yellow,4.74,Banana
1825,Brown,16.4,Coconut
247,Orange,8.09,Orange
1687,Green,15.82,Coconut
160,Orange,7.34,Orange
110,Yellow,3.79,Banana
1334,Green,19.33,Coconut
6,Green,1.47,Grape
137,Yellow,4.27,Banana
193,Green,6.71,Apple
1295,Green,14.83,Papaya
